"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"132",10000,0.000845637583892618,"seagrass",92.23,NA,0,0.17,NA,0.16,1.92,NA,0,3036.56,NA,238.97,0.08,NA,1.15
"133",22.7,0.000885906040268456,"seagrass",247.09,NA,0,0.71,NA,0.16,2.29,NA,0,4380.41,NA,238.92,0.01,NA,1.15
"134",100,0.000885906040268456,"seagrass",160.26,NA,0,0.35,NA,0.16,2.15,NA,0,3649.08,NA,238.92,0.02,NA,1.15
"135",500,0.000885906040268456,"seagrass",104.91,NA,0,0.19,NA,0.16,1.99,NA,0,3176.31,NA,238.92,0.05,NA,1.15
"136",1000,0.000885906040268456,"seagrass",97.26,NA,0,0.18,NA,0.16,1.94,NA,0,3080.37,NA,238.92,0.06,NA,1.15
"137",6000,0.000885906040268456,"seagrass",90.76,NA,0,0.17,NA,0.16,1.88,NA,0,2984.24,NA,238.92,0.08,NA,1.15
"138",10000,0.000885906040268456,"seagrass",90.23,NA,0,0.17,NA,0.16,1.88,NA,0,2975.66,NA,238.92,0.08,NA,1.15
"139",22.7,0.000926174496644295,"seagrass",238.14,NA,0,0.7,NA,0.16,2.22,NA,0,4263.16,NA,238.88,0.01,NA,1.15
"140",100,0.000926174496644295,"seagrass",154.75,NA,0,0.35,NA,0.16,2.1,NA,0,3557.98,NA,238.88,0.02,NA,1.15
"141",500,0.000926174496644295,"seagrass",102.42,NA,0,0.19,NA,0.16,1.94,NA,0,3111.88,NA,238.88,0.05,NA,1.15
"142",1000,0.000926174496644295,"seagrass",95.08,NA,0,0.18,NA,0.16,1.9,NA,0,3019.02,NA,238.88,0.07,NA,1.15
"143",6000,0.000926174496644295,"seagrass",88.79,NA,0,0.17,NA,0.16,1.84,NA,0,2924.43,NA,238.88,0.09,NA,1.15
"144",10000,0.000926174496644295,"seagrass",88.27,NA,0,0.17,NA,0.16,1.84,NA,0,2915.91,NA,238.88,0.09,NA,1.15
"145",22.7,0.000966442953020134,"seagrass",229.77,NA,0,0.7,NA,0.16,2.15,NA,0,4152.87,NA,238.83,0.01,NA,1.15
"146",100,0.000966442953020134,"seagrass",149.61,NA,0,0.34,NA,0.16,2.04,NA,0,3472.11,NA,238.83,0.02,NA,1.15
"147",500,0.000966442953020134,"seagrass",100.03,NA,0,0.19,NA,0.16,1.9,NA,0,3049.67,NA,238.83,0.06,NA,1.15
"148",1000,0.000966442953020134,"seagrass",92.97,NA,0,0.18,NA,0.16,1.85,NA,0,2959.3,NA,238.83,0.07,NA,1.15
"149",6000,0.000966442953020134,"seagrass",86.85,NA,0,0.17,NA,0.16,1.8,NA,0,2865.64,NA,238.83,0.09,NA,1.15
"150",10000,0.000966442953020134,"seagrass",86.35,NA,0,0.17,NA,0.16,1.8,NA,0,2857.11,NA,238.83,0.09,NA,1.15
"151",22.7,0.00100671140939597,"seagrass",221.92,NA,0,0.69,NA,0.16,2.09,NA,0,4048.91,NA,238.78,0.01,NA,1.15
"152",100,0.00100671140939597,"seagrass",144.8,NA,0,0.34,NA,0.16,1.99,NA,0,3390.98,NA,238.78,0.02,NA,1.15
"153",500,0.00100671140939597,"seagrass",97.72,NA,0,0.19,NA,0.16,1.86,NA,0,2989.49,NA,238.78,0.06,NA,1.15
"154",1000,0.00100671140939597,"seagrass",90.91,NA,0,0.18,NA,0.16,1.82,NA,0,2901.03,NA,238.78,0.07,NA,1.15
"155",6000,0.00100671140939597,"seagrass",84.94,NA,0,0.17,NA,0.16,1.76,NA,0,2807.64,NA,238.78,0.1,NA,1.15
