"","sh","temp","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"167",6000,300.535234899329,"seagrass",156.99,NA,0,0.16,NA,0.16,3.23,NA,0,4364.64,NA,204.21,0.04,NA,1.15
"168",10000,300.535234899329,"seagrass",155.15,NA,0,0.16,NA,0.16,3.21,NA,0,4336.82,NA,204.21,0.04,NA,1.15
"169",22.7,300.597651006711,"seagrass",1026.71,NA,0,0.85,NA,0.16,8.47,NA,0,12089.51,NA,202.99,0.01,NA,1.15
"170",100,300.597651006711,"seagrass",705.46,NA,0,0.6,NA,0.16,6.88,NA,0,9664.52,NA,202.99,0.01,NA,1.15
"171",500,300.597651006711,"seagrass",224.9,NA,0,0.22,NA,0.16,3.88,NA,0,5251.73,NA,202.99,0.02,NA,1.15
"172",1000,300.597651006711,"seagrass",183.23,NA,0,0.18,NA,0.16,3.5,NA,0,4717.38,NA,202.99,0.03,NA,1.15
"173",6000,300.597651006711,"seagrass",156.96,NA,0,0.16,NA,0.16,3.23,NA,0,4342.46,NA,202.99,0.04,NA,1.15
"174",10000,300.597651006711,"seagrass",155.12,NA,0,0.16,NA,0.16,3.21,NA,0,4314.75,NA,202.99,0.04,NA,1.15
"175",22.7,300.660067114094,"seagrass",1026.7,NA,0,0.85,NA,0.16,8.47,NA,0,12029.7,NA,201.78,0.01,NA,1.15
"176",100,300.660067114094,"seagrass",705.45,NA,0,0.6,NA,0.16,6.88,NA,0,9616.86,NA,201.78,0.01,NA,1.15
"177",500,300.660067114094,"seagrass",224.88,NA,0,0.22,NA,0.16,3.88,NA,0,5225.67,NA,201.78,0.02,NA,1.15
"178",1000,300.660067114094,"seagrass",183.2,NA,0,0.18,NA,0.16,3.5,NA,0,4693.73,NA,201.78,0.03,NA,1.15
"179",6000,300.660067114094,"seagrass",156.92,NA,0,0.16,NA,0.16,3.23,NA,0,4320.34,NA,201.78,0.04,NA,1.15
"180",10000,300.660067114094,"seagrass",155.08,NA,0,0.16,NA,0.16,3.21,NA,0,4292.74,NA,201.78,0.04,NA,1.15
"181",22.7,300.722483221477,"seagrass",1026.69,NA,0,0.85,NA,0.16,8.47,NA,0,11970.21,NA,200.57,0.01,NA,1.15
"182",100,300.722483221477,"seagrass",705.44,NA,0,0.6,NA,0.16,6.88,NA,0,9569.44,NA,200.57,0.01,NA,1.15
"183",500,300.722483221477,"seagrass",224.86,NA,0,0.22,NA,0.16,3.87,NA,0,5199.72,NA,200.57,0.02,NA,1.15
"184",1000,300.722483221477,"seagrass",183.17,NA,0,0.18,NA,0.16,3.5,NA,0,4670.17,NA,200.57,0.03,NA,1.15
"185",6000,300.722483221477,"seagrass",156.88,NA,0,0.16,NA,0.16,3.23,NA,0,4298.29,NA,200.57,0.04,NA,1.15
"186",10000,300.722483221477,"seagrass",155.04,NA,0,0.16,NA,0.16,3.21,NA,0,4270.78,NA,200.57,0.04,NA,1.15
"187",22.7,300.784899328859,"seagrass",1026.69,NA,0,0.85,NA,0.16,8.47,NA,0,11911.02,NA,199.37,0.01,NA,1.15
"188",100,300.784899328859,"seagrass",705.44,NA,0,0.6,NA,0.16,6.88,NA,0,9522.27,NA,199.37,0.01,NA,1.15
"189",500,300.784899328859,"seagrass",224.84,NA,0,0.22,NA,0.16,3.87,NA,0,5173.87,NA,199.37,0.02,NA,1.15
"190",1000,300.784899328859,"seagrass",183.14,NA,0,0.18,NA,0.16,3.49,NA,0,4646.69,NA,199.37,0.03,NA,1.15
