"","da","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"119",0.0208333333333333,0.00157046979865772,"bistable",81.23,2.51,0,0.39,0.12,0.11,1.03,0.06,0,2060.99,268.27,160.88,0.02,0.65,0.69
"120",20,0.00157046979865772,"bistable",81.23,2.51,0,0.39,0.12,0.11,1.03,0.06,0,242.04,31.51,18.89,0.02,0.65,0.69
"121",0,0.00161073825503356,"bistable",79.04,2.78,0,0.39,0.12,0.11,1.01,0.07,0,2040.07,281.74,162.15,0.02,0.65,0.69
"122",0.0208333333333333,0.00161073825503356,"bistable",79.04,2.78,0,0.39,0.12,0.11,1.01,0.07,0,2023.68,279.48,160.85,0.02,0.65,0.69
"123",20,0.00161073825503356,"bistable",79.04,2.78,0,0.39,0.12,0.11,1.01,0.07,0,232.44,32.1,18.48,0.02,0.65,0.69
"124",0,0.0016510067114094,"bistable",76.96,3.07,0,0.38,0.13,0.11,0.99,0.07,0,2004.31,293.25,162.15,0.02,0.65,0.69
"125",0.0208333333333333,0.0016510067114094,"bistable",76.96,3.07,0,0.38,0.13,0.11,0.99,0.07,0,1987.8,290.83,160.82,0.02,0.65,0.69
"126",20,0.0016510067114094,"bistable",76.96,3.07,0,0.38,0.13,0.11,0.99,0.07,0,223.42,32.69,18.07,0.02,0.65,0.69
"127",0,0.00169127516778524,"bistable",74.96,3.36,0,0.38,0.13,0.11,0.97,0.08,0,1969.89,304.9,162.15,0.02,0.64,0.69
"128",0.0208333333333333,0.00169127516778524,"bistable",74.96,3.36,0,0.38,0.13,0.11,0.97,0.08,0,1953.28,302.33,160.78,0.02,0.64,0.69
"129",20,0.00169127516778524,"bistable",74.96,3.36,0,0.38,0.13,0.11,0.97,0.08,0,214.92,33.27,17.69,0.02,0.64,0.69
"130",0,0.00173154362416107,"bistable",73.06,3.66,0,0.37,0.13,0.11,0.96,0.09,0,1936.73,316.71,162.15,0.02,0.64,0.69
"131",0.0208333333333333,0.00173154362416107,"bistable",73.06,3.66,0,0.37,0.13,0.11,0.96,0.09,0,1920.01,313.98,160.75,0.02,0.64,0.69
"132",20,0.00173154362416107,"bistable",73.06,3.66,0,0.37,0.13,0.11,0.96,0.09,0,206.92,33.84,17.32,0.02,0.64,0.69
"133",0,0.00177181208053691,"bistable",71.24,3.96,0,0.37,0.13,0.11,0.94,0.09,0,1904.76,328.69,162.15,0.02,0.63,0.69
"134",0.0208333333333333,0.00177181208053691,"bistable",71.24,3.96,0,0.37,0.13,0.11,0.94,0.09,0,1887.93,325.78,160.72,0.02,0.63,0.69
"135",20,0.00177181208053691,"bistable",71.24,3.96,0,0.37,0.13,0.11,0.94,0.09,0,199.36,34.4,16.97,0.02,0.63,0.69
"136",0,0.00181208053691275,"bistable",69.49,4.27,0,0.36,0.13,0.11,0.92,0.1,0,1873.89,340.83,162.15,0.02,0.63,0.69
"137",0.0208333333333333,0.00181208053691275,"bistable",69.49,4.27,0,0.36,0.13,0.11,0.92,0.1,0,1856.97,337.75,160.69,0.02,0.63,0.69
"138",20,0.00181208053691275,"bistable",69.49,4.27,0,0.36,0.13,0.11,0.92,0.1,0,192.22,34.96,16.63,0.02,0.63,0.69
"139",0,0.00185234899328859,"bistable",67.82,4.6,0,0.36,0.13,0.11,0.91,0.11,0,1844.07,353.15,162.15,0.02,0.62,0.69
"140",0.0208333333333333,0.00185234899328859,"bistable",67.82,4.6,0,0.36,0.13,0.11,0.91,0.11,0,1827.05,349.89,160.65,0.02,0.62,0.69
"141",20,0.00185234899328859,"bistable",67.82,4.6,0,0.36,0.13,0.11,0.91,0.11,0,185.46,35.52,16.31,0.02,0.62,0.69
"142",0,0.00189261744966443,"bistable",66.21,4.92,0,0.35,0.14,0.11,0.89,0.12,0,1815.24,365.65,162.15,0.03,0.62,0.69
"143",0.0208333333333333,0.00189261744966443,"bistable",66.21,4.92,0,0.35,0.14,0.11,0.89,0.12,0,1798.12,362.2,160.62,0.03,0.62,0.69
"144",20,0.00189261744966443,"bistable",66.21,4.92,0,0.35,0.14,0.11,0.89,0.12,0,179.06,36.07,16,0.03,0.62,0.69
