"","sh","ma","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"95",22.7,0.00189261744966443,"bistable",66.21,4.92,0,0.35,0.14,0.11,0.89,0.12,0,1798.12,362.2,160.62,0.03,0.62,0.69
"96",1e+06,0.00189261744966443,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.62,NA,NA,7.72
"97",22.7,0.00193288590604027,"bistable",64.66,5.26,0,0.35,0.14,0.11,0.88,0.12,0,1770.11,374.7,160.59,0.03,0.61,0.69
"98",1e+06,0.00193288590604027,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.59,NA,NA,7.72
"99",22.7,0.00197315436241611,"bistable",63.18,5.61,0,0.34,0.14,0.11,0.86,0.13,0,1742.97,387.39,160.56,0.03,0.61,0.69
"100",1e+06,0.00197315436241611,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.56,NA,NA,7.72
"101",22.7,0.00201342281879195,"bistable",61.74,5.96,0,0.34,0.14,0.11,0.85,0.14,0,1716.65,400.27,160.52,0.03,0.6,0.69
"102",1e+06,0.00201342281879195,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.52,NA,NA,7.72
"103",22.7,0.00205369127516779,"bistable",60.36,6.33,0,0.34,0.14,0.11,0.83,0.14,0,1691.09,413.37,160.49,0.03,0.6,0.69
"104",1e+06,0.00205369127516779,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.49,NA,NA,7.72
"105",22.7,0.00209395973154362,"bistable",59.03,6.71,0,0.33,0.14,0.11,0.82,0.15,0,1666.26,426.68,160.46,0.03,0.59,0.69
"106",1e+06,0.00209395973154362,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.46,NA,NA,7.72
"107",22.7,0.00213422818791946,"bistable",57.74,7.09,0,0.33,0.15,0.11,0.81,0.16,0,1642.1,440.22,160.43,0.03,0.58,0.69
"108",1e+06,0.00213422818791946,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.43,NA,NA,7.72
"109",22.7,0.0021744966442953,"bistable",56.5,7.49,0,0.33,0.15,0.11,0.79,0.17,0,1618.57,454,160.4,0.03,0.58,0.69
"110",1e+06,0.0021744966442953,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.4,NA,NA,7.72
"111",22.7,0.00221476510067114,"bistable",55.29,7.9,0,0.32,0.15,0.11,0.78,0.18,0,1595.63,468.03,160.36,0.04,0.57,0.69
"112",1e+06,0.00221476510067114,"bare",NA,NA,0,NA,NA,0.11,NA,NA,0,NA,NA,160.36,NA,NA,7.72
