"","sh","pmax","stability","S_seagrass","S_bistable","S_bare","CA_seagrass","CA_bistable","CA_bare","CS_seagrass","CS_bistable","CS_bare","CB_seagrass","CB_bistable","CB_bare","N_seagrass","N_bistable","N_bare"
"109",22.7,2.13087248322148,"bistable",2417.56,16.94,0,3.81,0.8,0.47,19.13,0.33,0,35055.97,1651.47,691.23,0.01,1.22,1.02
"110",1e+06,2.13087248322148,"bare",NA,NA,0,NA,NA,0.47,NA,NA,0,NA,NA,691.23,NA,NA,8.05
"111",22.7,2.16107382550336,"bistable",2449.72,17.8,0,3.87,0.83,0.48,19.37,0.34,0,35523.2,1709.74,701.03,0.01,1.24,1.03
"112",1e+06,2.16107382550336,"bare",NA,NA,0,NA,NA,0.48,NA,NA,0,NA,NA,701.03,NA,NA,8.06
"113",22.7,2.19127516778523,"bistable",2481.88,18.7,0,3.92,0.86,0.49,19.6,0.35,0,35990.48,1769.69,710.83,0.01,1.26,1.03
"114",1e+06,2.19127516778523,"bare",NA,NA,0,NA,NA,0.49,NA,NA,0,NA,NA,710.83,NA,NA,8.07
"115",22.7,2.22147651006711,"bistable",2514.04,19.63,0,3.98,0.89,0.49,19.84,0.37,0,36457.81,1831.38,720.63,0.01,1.28,1.04
"116",1e+06,2.22147651006711,"bare",NA,NA,0,NA,NA,0.49,NA,NA,0,NA,NA,720.63,NA,NA,8.07
"117",22.7,2.25167785234899,"bistable",2546.2,20.6,0,4.03,0.92,0.5,20.08,0.38,0,36925.18,1894.89,730.43,0.01,1.31,1.05
"118",1e+06,2.25167785234899,"bare",NA,NA,0,NA,NA,0.5,NA,NA,0,NA,NA,730.43,NA,NA,8.08
"119",22.7,2.28187919463087,"bistable",2578.37,21.6,0,4.09,0.95,0.51,20.31,0.39,0,37392.59,1960.3,740.24,0.01,1.33,1.05
"120",1e+06,2.28187919463087,"bare",NA,NA,0,NA,NA,0.51,NA,NA,0,NA,NA,740.24,NA,NA,8.09
"121",22.7,2.31208053691275,"bistable",2610.53,22.65,0,4.14,0.98,0.51,20.55,0.41,0,37860.02,2027.69,750.04,0.01,1.36,1.06
"122",1e+06,2.31208053691275,"bare",NA,NA,0,NA,NA,0.51,NA,NA,0,NA,NA,750.04,NA,NA,8.09
"123",22.7,2.34228187919463,"bistable",2642.69,23.74,0,4.2,1.01,0.52,20.78,0.42,0,38327.48,2097.14,759.84,0.01,1.38,1.06
"124",1e+06,2.34228187919463,"bare",NA,NA,0,NA,NA,0.52,NA,NA,0,NA,NA,759.84,NA,NA,8.1
"125",22.7,2.37248322147651,"bistable",2674.85,24.87,0,4.25,1.05,0.53,21.01,0.44,0,38794.95,2168.74,769.64,0.01,1.41,1.07
"126",1e+06,2.37248322147651,"bare",NA,NA,0,NA,NA,0.53,NA,NA,0,NA,NA,769.64,NA,NA,8.1
"127",22.7,2.40268456375839,"bistable",2707,26.05,0,4.31,1.08,0.53,21.25,0.45,0,39262.43,2242.6,779.44,0.01,1.44,1.08
"128",1e+06,2.40268456375839,"bare",NA,NA,0,NA,NA,0.53,NA,NA,0,NA,NA,779.44,NA,NA,8.11
"129",22.7,2.43288590604027,"bistable",2739.16,27.28,0,4.36,1.12,0.54,21.48,0.47,0,39729.92,2318.8,789.24,0.01,1.47,1.08
"130",1e+06,2.43288590604027,"bare",NA,NA,0,NA,NA,0.54,NA,NA,0,NA,NA,789.24,NA,NA,8.12
"131",22.7,2.46308724832215,"bistable",2771.31,28.57,0,4.42,1.15,0.55,21.72,0.49,0,40197.39,2397.47,799.04,0.01,1.5,1.09
"132",1e+06,2.46308724832215,"bare",NA,NA,0,NA,NA,0.55,NA,NA,0,NA,NA,799.04,NA,NA,8.12
"133",22.7,2.49328859060403,"bistable",2803.45,29.91,0,4.47,1.19,0.55,21.95,0.5,0,40664.86,2478.71,808.85,0.01,1.53,1.1
"134",1e+06,2.49328859060403,"bare",NA,NA,0,NA,NA,0.55,NA,NA,0,NA,NA,808.85,NA,NA,8.13
"135",22.7,2.52348993288591,"bistable",2835.6,31.31,0,4.53,1.23,0.56,22.18,0.52,0,41132.3,2562.64,818.65,0.01,1.57,1.1
"136",1e+06,2.52348993288591,"bare",NA,NA,0,NA,NA,0.56,NA,NA,0,NA,NA,818.65,NA,NA,8.14
"137",22.7,2.55369127516779,"bistable",2867.73,32.78,0,4.58,1.28,0.57,22.42,0.54,0,41599.71,2649.41,828.45,0.01,1.6,1.11
"138",1e+06,2.55369127516779,"bare",NA,NA,0,NA,NA,0.57,NA,NA,0,NA,NA,828.45,NA,NA,8.14
"139",22.7,2.58389261744966,"bistable",2899.86,34.31,0,4.64,1.32,0.57,22.65,0.55,0,42067.09,2739.13,838.25,0.01,1.64,1.11
"140",1e+06,2.58389261744966,"bare",NA,NA,0,NA,NA,0.57,NA,NA,0,NA,NA,838.25,NA,NA,8.15
"141",22.7,2.61409395973154,"bistable",2931.99,35.92,0,4.69,1.36,0.58,22.88,0.57,0,42534.42,2831.96,848.05,0.01,1.67,1.12
"142",1e+06,2.61409395973154,"bare",NA,NA,0,NA,NA,0.58,NA,NA,0,NA,NA,848.05,NA,NA,8.15
"143",22.7,2.64429530201342,"bistable",2964.1,37.6,0,4.74,1.41,0.59,23.11,0.59,0,43001.68,2928.06,857.85,0.01,1.71,1.13
"144",1e+06,2.64429530201342,"bare",NA,NA,0,NA,NA,0.59,NA,NA,0,NA,NA,857.85,NA,NA,8.16
"145",22.7,2.6744966442953,"bistable",2996.21,39.36,0,4.8,1.46,0.59,23.34,0.61,0,43468.88,3027.59,867.66,0.01,1.75,1.13
"146",1e+06,2.6744966442953,"bare",NA,NA,0,NA,NA,0.59,NA,NA,0,NA,NA,867.66,NA,NA,8.17
"147",22.7,2.70469798657718,"bistable",3028.31,41.22,0,4.85,1.51,0.6,23.57,0.63,0,43936,3130.73,877.46,0.01,1.79,1.14
"148",1e+06,2.70469798657718,"bare",NA,NA,0,NA,NA,0.6,NA,NA,0,NA,NA,877.46,NA,NA,8.17
"149",22.7,2.73489932885906,"bistable",3060.4,43.17,0,4.91,1.56,0.61,23.81,0.65,0,44403.03,3237.68,887.26,0.01,1.84,1.15
"150",1e+06,2.73489932885906,"bare",NA,NA,0,NA,NA,0.61,NA,NA,0,NA,NA,887.26,NA,NA,8.18
"151",22.7,2.76510067114094,"bistable",3092.48,45.22,0,4.96,1.61,0.62,24.04,0.68,0,44869.95,3348.63,897.06,0.02,1.88,1.15
"152",1e+06,2.76510067114094,"bare",NA,NA,0,NA,NA,0.62,NA,NA,0,NA,NA,897.06,NA,NA,8.18
"153",22.7,2.79530201342282,"bistable",3124.54,47.38,0,5.02,1.67,0.62,24.27,0.7,0,45336.75,3463.81,906.87,0.02,1.93,1.16
"154",1e+06,2.79530201342282,"bare",NA,NA,0,NA,NA,0.62,NA,NA,0,NA,NA,906.87,NA,NA,8.19
"155",22.7,2.8255033557047,"bistable",3156.59,49.66,0,5.07,1.72,0.63,24.5,0.72,0,45803.41,3583.45,916.67,0.02,1.98,1.16
"156",1e+06,2.8255033557047,"bare",NA,NA,0,NA,NA,0.63,NA,NA,0,NA,NA,916.67,NA,NA,8.2
"157",22.7,2.85570469798658,"bistable",3188.62,52.07,0,5.13,1.78,0.64,24.72,0.75,0,46269.91,3707.81,926.47,0.02,2.03,1.17
"158",1e+06,2.85570469798658,"bare",NA,NA,0,NA,NA,0.64,NA,NA,0,NA,NA,926.47,NA,NA,8.2
"159",22.7,2.88590604026846,"bistable",3220.64,54.62,0,5.18,1.85,0.64,24.95,0.77,0,46736.24,3837.18,936.28,0.02,2.08,1.18
"160",1e+06,2.88590604026846,"bare",NA,NA,0,NA,NA,0.64,NA,NA,0,NA,NA,936.28,NA,NA,8.21
"161",22.7,2.91610738255034,"bistable",3252.64,57.31,0,5.23,1.91,0.65,25.18,0.8,0,47202.38,3971.84,946.08,0.02,2.13,1.18
"162",1e+06,2.91610738255034,"bare",NA,NA,0,NA,NA,0.65,NA,NA,0,NA,NA,946.08,NA,NA,8.22
"163",22.7,2.94630872483221,"bistable",3284.62,60.17,0,5.29,1.98,0.66,25.41,0.83,0,47668.29,4112.13,955.88,0.02,2.19,1.19
"164",1e+06,2.94630872483221,"bare",NA,NA,0,NA,NA,0.66,NA,NA,0,NA,NA,955.88,NA,NA,8.22
"165",22.7,2.97651006711409,"bistable",3316.57,63.2,0,5.34,2.05,0.66,25.64,0.86,0,48133.96,4258.39,965.68,0.02,2.25,1.19
"166",1e+06,2.97651006711409,"bare",NA,NA,0,NA,NA,0.66,NA,NA,0,NA,NA,965.68,NA,NA,8.23
"167",22.7,3.00671140939597,"bistable",3348.5,66.43,0,5.4,2.12,0.67,25.86,0.89,0,48599.35,4411.02,975.49,0.02,2.31,1.2
"168",1e+06,3.00671140939597,"bare",NA,NA,0,NA,NA,0.67,NA,NA,0,NA,NA,975.49,NA,NA,8.23
"169",22.7,3.03691275167785,"bistable",3380.4,69.88,0,5.45,2.2,0.68,26.09,0.92,0,49064.43,4570.45,985.29,0.02,2.37,1.21
"170",1e+06,3.03691275167785,"bare",NA,NA,0,NA,NA,0.68,NA,NA,0,NA,NA,985.29,NA,NA,8.24
